state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
KY,Kentucky,2008,1,1,NA,NA,NA,NA,4.5928801e-4,3.6420734e-4,0.0010152683,0.061862666,NA,0.24984793,0.72222221,0,0.22425771,0.058890909,0,12.314087,0.018838329,0.83167911,0.58953273
KY,Kentucky,2010,1,1,0,0,1,0.20891052,7.2637777e-5,6.7701229e-5,8.4186648e-4,0.02545213,0.065693431,0.2651515,0.99955684,0,0.17314005,0.027390575,0,NA,NA,0.76452303,0.44141084
KY,Kentucky,2012,1,1,0,0,1,0.2089529,1.580487e-4,1.3051408e-4,9.9895592e-4,0.080859654,0.080947421,0.22370806,1,0,0.17743474,0.045199431,0,8.032156,0.0102602,0.80811894,0.55901283
KY,Kentucky,2014,1,1,0,0,1,NA,8.9762361e-5,7.6743396e-5,9.3325449e-4,0.067946449,0.10182767,0.35714287,0.94444442,0,0.14821595,0.02714232,0,7.0700188,NA,0.8075726,0.44035643
KY,Kentucky,2016,1,1,1,1,1,0.67197359,1.4928788e-4,1.1953291e-4,0.001100421,0.10364778,0.041826922,0.45877764,1,0,0.166482,0.040257376,1,7.6432524,0.01287877,0.8296631,0.59670532
LA,Louisiana,2008,1,0,NA,NA,NA,0.059069838,0.0040745875,0.00237882,9.4759022e-4,0.025930472,0.069134295,0.29096627,1,0,0.2016062,0.045260426,0,19.072609,0.010751489,0.88088006,0.61758554
LA,Louisiana,2010,1,1,1,1,1,0.11593584,2.1714874e-4,2.6951086e-5,6.4605603e-4,0.34424663,0.10436433,0.88048917,1,0,0.17322573,0.041322529,1,NA,NA,0.86245,0.39941409
LA,Louisiana,2012,1,1,1,1,1,0.078013681,0.0034062858,0.0021111823,0.0011784497,0.21734925,0.042842217,0.38802752,1,0,0.17045942,0.033183213,1,20.246925,0.0101675,0.85025477,0.61000437
LA,Louisiana,2014,1,1,1,1,1,0.099227093,0.0010419056,6.6889409e-4,0.0012666434,0.29785588,0.064007424,0.8479988,1,0,0.14676817,0.038291141,1,6.6633039,NA,0.82128608,0.45056367
LA,Louisiana,2016,1,1,1,1,1,0.052864868,0.0024090132,0.0017826112,0.0011079119,0.21509458,0.059399333,0.41964409,1,1,0.18314131,0.041845292,1,12.251608,0.01000228,0.86414963,0.6061995
MA,Massachusetts,2008,1,0,NA,NA,NA,NA,0.003774418,0.0027180193,6.3809322e-4,0.09135323,0.073864043,0.26114234,0.66666669,0,0.22329813,0.087060317,0,5.6307926,0.0069809905,0.87055755,0.67272878
MA,Massachusetts,2010,1,0,1,0,0,0.033089068,0.001240537,8.7070354e-4,NA,0.058879778,0.079493672,0.3245554,0.87566853,0,0.17179298,0.022193173,0,NA,NA,0.81889844,0.49666852
MA,Massachusetts,2012,1,0,1,1,0,0.033410184,0.0040575392,0.0030214849,7.8449945e-4,0.082343772,0.0050395969,0.18088569,0.99988562,0,0.20336337,0.068304285,0,8.758975,0.0051595001,0.87736136,0.66595179
MA,Massachusetts,2014,1,1,1,1,0,0.04757132,0.0012003885,8.8622968e-4,4.9707515e-4,0.090688571,0.0067859348,0.29354981,1,0,0.16707827,0.020016162,0,3.2318907,NA,0.80599606,0.44626799
MA,Massachusetts,2016,1,1,1,1,0,0.03349122,0.0021750319,0.0015227295,0.0015248012,0.10741748,0.0095037501,0.17211124,0.99999756,1,0.19432175,0.065162696,1,5.3143082,0.015909489,0.8767485,0.68296677
MD,Maryland,2008,1,1,NA,NA,NA,NA,0.019220445,0.0064431299,7.2241499e-4,0.092686459,0.085650876,0.17412223,0.8888889,1,0.19235945,0.091768123,0,24.491892,0.011386206,0.87005526,0.67817211
MD,Maryland,2010,1,1,1,1,1,0.021160603,0.019986844,0.0017112921,6.0700823e-4,0.14561431,0.15560949,0.74646968,0.99978763,1,0.13792613,0.039346278,0,NA,NA,0.81215799,0.46473944
MD,Maryland,2012,1,1,1,1,1,0.002546194,0.029213782,0.0040703113,5.5372907e-4,0.12456508,0.11230206,0.25780928,1,1,0.19453773,0.066445693,1,29.184135,0.0097784996,0.87071711,0.6681667
MD,Maryland,2014,1,1,1,1,1,1.1122233e-4,0.020092785,0.0014927477,3.9768402e-4,0.19067051,0.092085235,0.45716709,1,1,0.12174992,0.03878291,1,4.791954,NA,0.85185409,0.41518563000000003
MD,Maryland,2016,1,1,1,1,1,0.0015407838,0.028019546,0.0033565748,8.5063151e-4,0.22107317,0.076237977,0.32340634,1,1,0.16130018,0.055304859,1,15.716783,0.0092173303,0.88472676,0.67217356
ME,Maine,2008,1,0,NA,NA,NA,0.0082359603,NA,NA,0.0024635438,0.027668796,0.055927344,0.28735083,0.93149489,0,0.13937449,0.014208925,0,4.3595996,0.017855991,0.86455745,0.71841908
ME,Maine,2010,1,0,1,0,NA,0.010418122,2.7504939e-4,0,0.001958373,0.036856454,0.050075874,0.51040119,0.99976468,0,0.10156292,0.0074562384,0,NA,NA,0.85985947,0.56004107
ME,Maine,2012,1,0,1,0,NA,0.016590558,4.3464883e-4,0,0.0029747819,0.031977423,0.079436451,0.25519088,0.99999487,0,0.15452802,0.012189665,0,3.7301269,0.015975,0.85455739,0.69162834
ME,Maine,2014,1,1,1,0,NA,0.018415928,1.3956711e-4,0,0.0022103535,0.03887013,0.029999999,0.23323615,0.99991965,0,0.11918105,0.0096398257,0,4.7673006000000004,NA,0.84823573,0.58520085
